"gene","hgnc_symbol","description","gene_biotype"
"ENSG00000169499","PLEKHA2","pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]","protein_coding"
"ENSG00000169504","CLIC4","chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]","protein_coding"
"ENSG00000169507","SLC38A11","solute carrier family 38 member 11 [Source:HGNC Symbol;Acc:HGNC:26836]","protein_coding"
"ENSG00000169508","GPR183","G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]","protein_coding"
"ENSG00000169515","CCDC8","coiled-coil domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25367]","protein_coding"
"ENSG00000169519","METTL15","methyltransferase like 15 [Source:HGNC Symbol;Acc:HGNC:26606]","protein_coding"
"ENSG00000169554","ZEB2","zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]","protein_coding"
"ENSG00000169562","GJB1","gap junction protein beta 1 [Source:HGNC Symbol;Acc:HGNC:4283]","protein_coding"
"ENSG00000169564","PCBP1","poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]","protein_coding"
"ENSG00000169567","HINT1","histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]","protein_coding"
"ENSG00000169570","DTWD2","DTW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19334]","protein_coding"
"ENSG00000169583","CLIC3","chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]","protein_coding"
"ENSG00000169592","INO80E","INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]","protein_coding"
"ENSG00000169598","DFFB","DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]","protein_coding"
"ENSG00000169599","NFU1","NFU1 iron-sulfur cluster scaffold [Source:HGNC Symbol;Acc:HGNC:16287]","protein_coding"
"ENSG00000169604","ANTXR1","ANTXR cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:21014]","protein_coding"
"ENSG00000169609","C15orf40","chromosome 15 open reading frame 40 [Source:HGNC Symbol;Acc:HGNC:28443]","protein_coding"
"ENSG00000169612","RAMAC","RNA guanine-7 methyltransferase activating subunit [Source:HGNC Symbol;Acc:HGNC:31022]","protein_coding"
"ENSG00000169621","APLF","aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]","protein_coding"
"ENSG00000169627","BOLA2B","bolA family member 2B [Source:HGNC Symbol;Acc:HGNC:32479]","protein_coding"
"ENSG00000169629","RGPD8","RANBP2 like and GRIP domain containing 8 [Source:HGNC Symbol;Acc:HGNC:9849]","protein_coding"
"ENSG00000169635","HIC2","HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]","protein_coding"
"ENSG00000169641","LUZP1","leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]","protein_coding"
"ENSG00000169660","HEXD","hexosaminidase D [Source:HGNC Symbol;Acc:HGNC:26307]","protein_coding"
"ENSG00000169668","BCRP2","BCR pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1015]","transcribed_unprocessed_pseudogene"
"ENSG00000169676","DRD5","dopamine receptor D5 [Source:HGNC Symbol;Acc:HGNC:3026]","protein_coding"
"ENSG00000169679","BUB1","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]","protein_coding"
"ENSG00000169682","SPNS1","sphingolipid transporter 1 (putative) [Source:HGNC Symbol;Acc:HGNC:30621]","protein_coding"
"ENSG00000169683","LRRC45","leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:HGNC:28302]","protein_coding"
"ENSG00000169684","CHRNA5","cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]","protein_coding"
"ENSG00000169689","CENPX","centromere protein X [Source:HGNC Symbol;Acc:HGNC:11422]","protein_coding"
"ENSG00000169692","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]","protein_coding"
"ENSG00000169696","ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing [Source:HGNC Symbol;Acc:HGNC:13825]","protein_coding"
"ENSG00000169710","FASN","fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]","protein_coding"
"ENSG00000169714","CNBP","CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]","protein_coding"
"ENSG00000169715","MT1E","metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]","protein_coding"
"ENSG00000169718","DUS1L","dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]","protein_coding"
"ENSG00000169727","GPS1","G protein pathway suppressor 1 [Source:HGNC Symbol;Acc:HGNC:4549]","protein_coding"
"ENSG00000169733","RFNG","RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:9974]","protein_coding"
"ENSG00000169738","DCXR","dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]","protein_coding"
"ENSG00000169740","ZNF32","zinc finger protein 32 [Source:HGNC Symbol;Acc:HGNC:13095]","protein_coding"
"ENSG00000169744","LDB2","LIM domain binding 2 [Source:HGNC Symbol;Acc:HGNC:6533]","protein_coding"
"ENSG00000169750","RAC3","Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]","protein_coding"
"ENSG00000169752","NRG4","neuregulin 4 [Source:HGNC Symbol;Acc:HGNC:29862]","protein_coding"
"ENSG00000169756","LIMS1","LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]","protein_coding"
"ENSG00000169758","TMEM266","transmembrane protein 266 [Source:HGNC Symbol;Acc:HGNC:26763]","protein_coding"
"ENSG00000169760","NLGN1","neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]","protein_coding"
"ENSG00000169762","TAPT1","transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]","protein_coding"
"ENSG00000169764","UGP2","UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]","protein_coding"
"ENSG00000169783","LINGO1","leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21205]","protein_coding"
"ENSG00000169813","HNRNPF","heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]","protein_coding"
"ENSG00000169814","BTD","biotinidase [Source:HGNC Symbol;Acc:HGNC:1122]","protein_coding"
"ENSG00000169826","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24292]","protein_coding"
"ENSG00000169836","TACR3","tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]","protein_coding"
"ENSG00000169851","PCDH7","protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]","protein_coding"
"ENSG00000169855","ROBO1","roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]","protein_coding"
"ENSG00000169856","ONECUT1","one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]","protein_coding"
"ENSG00000169857","AVEN","apoptosis and caspase activation inhibitor [Source:HGNC Symbol;Acc:HGNC:13509]","protein_coding"
"ENSG00000169860","P2RY1","purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]","protein_coding"
"ENSG00000169862","CTNND2","catenin delta 2 [Source:HGNC Symbol;Acc:HGNC:2516]","protein_coding"
"ENSG00000169871","TRIM56","tripartite motif containing 56 [Source:HGNC Symbol;Acc:HGNC:19028]","protein_coding"
"ENSG00000169884","WNT10B","Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]","protein_coding"
"ENSG00000169891","REPS2","RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]","protein_coding"
"ENSG00000169895","SYAP1","synapse associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16273]","protein_coding"
"ENSG00000169896","ITGAM","integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]","protein_coding"
"ENSG00000169900","PYDC1","pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30261]","protein_coding"
"ENSG00000169902","TPST1","tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]","protein_coding"
"ENSG00000169905","TOR1AIP2","torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]","protein_coding"
"ENSG00000169908","TM4SF1","transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]","protein_coding"
"ENSG00000169914","OTUD3","OTU deubiquitinase 3 [Source:HGNC Symbol;Acc:HGNC:29038]","protein_coding"
"ENSG00000169918","OTUD7A","OTU deubiquitinase 7A [Source:HGNC Symbol;Acc:HGNC:20718]","protein_coding"
"ENSG00000169919","GUSB","glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]","protein_coding"
"ENSG00000169925","BRD3","bromodomain containing 3 [Source:HGNC Symbol;Acc:HGNC:1104]","protein_coding"
"ENSG00000169926","KLF13","Kruppel like factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]","protein_coding"
"ENSG00000169933","FRMPD4","FERM and PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29007]","protein_coding"
"ENSG00000169946","ZFPM2","zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]","protein_coding"
"ENSG00000169951","ZNF764","zinc finger protein 764 [Source:HGNC Symbol;Acc:HGNC:28200]","protein_coding"
"ENSG00000169955","ZNF747","zinc finger protein 747 [Source:HGNC Symbol;Acc:HGNC:28350]","protein_coding"
"ENSG00000169957","ZNF768","zinc finger protein 768 [Source:HGNC Symbol;Acc:HGNC:26273]","protein_coding"
"ENSG00000169962","TAS1R3","taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]","protein_coding"
"ENSG00000169964","TMEM42","transmembrane protein 42 [Source:HGNC Symbol;Acc:HGNC:28444]","protein_coding"
"ENSG00000169967","MAP3K2","mitogen-activated protein kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6854]","protein_coding"
"ENSG00000169972","PUSL1","pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]","protein_coding"
"ENSG00000169976","SF3B5","splicing factor 3b subunit 5 [Source:HGNC Symbol;Acc:HGNC:21083]","protein_coding"
"ENSG00000169981","ZNF35","zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]","protein_coding"
"ENSG00000169989","TIGD4","tigger transposable element derived 4 [Source:HGNC Symbol;Acc:HGNC:18335]","protein_coding"
"ENSG00000169991","IFFO2","intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]","protein_coding"
"ENSG00000169992","NLGN2","neuroligin 2 [Source:HGNC Symbol;Acc:HGNC:14290]","protein_coding"
"ENSG00000169994","MYO7B","myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]","protein_coding"
"ENSG00000170004","CHD3","chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]","protein_coding"
"ENSG00000170006","TMEM154","transmembrane protein 154 [Source:HGNC Symbol;Acc:HGNC:26489]","protein_coding"
"ENSG00000170011","MYRIP","myosin VIIA and Rab interacting protein [Source:HGNC Symbol;Acc:HGNC:19156]","protein_coding"
"ENSG00000170017","ALCAM","activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]","protein_coding"
"ENSG00000170027","YWHAG","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]","protein_coding"
"ENSG00000170035","UBE2E3","ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]","protein_coding"
"ENSG00000170037","CNTROB","centrobin, centriole duplication and spindle assembly protein [Source:HGNC Symbol;Acc:HGNC:29616]","protein_coding"
"ENSG00000170043","TRAPPC1","trafficking protein particle complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19894]","protein_coding"
"ENSG00000170049","KCNAB3","potassium voltage-gated channel subfamily A regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6230]","protein_coding"
"ENSG00000170074","FAM153A","family with sequence similarity 153 member A [Source:HGNC Symbol;Acc:HGNC:29940]","protein_coding"
"ENSG00000170075","GPR37L1","G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]","protein_coding"
"ENSG00000170085","SIMC1","SUMO interacting motifs containing 1 [Source:HGNC Symbol;Acc:HGNC:24779]","protein_coding"
"ENSG00000170088","TMEM192","transmembrane protein 192 [Source:HGNC Symbol;Acc:HGNC:26775]","protein_coding"
"ENSG00000170089","","THO complex 3 (THOC3) pseudogene","transcribed_unprocessed_pseudogene"
"ENSG00000170091","NSG2","neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]","protein_coding"
"ENSG00000170100","ZNF778","zinc finger protein 778 [Source:HGNC Symbol;Acc:HGNC:26479]","protein_coding"
"ENSG00000170113","NIPA1","NIPA magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:17043]","protein_coding"
"ENSG00000170122","FOXD4","forkhead box D4 [Source:HGNC Symbol;Acc:HGNC:3805]","protein_coding"
"ENSG00000170142","UBE2E1","ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]","protein_coding"
"ENSG00000170144","HNRNPA3","heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]","protein_coding"
"ENSG00000170145","SIK2","salt inducible kinase 2 [Source:HGNC Symbol;Acc:HGNC:21680]","protein_coding"
"ENSG00000170153","RNF150","ring finger protein 150 [Source:HGNC Symbol;Acc:HGNC:23138]","protein_coding"
"ENSG00000170160","CCDC144A","coiled-coil domain containing 144A [Source:HGNC Symbol;Acc:HGNC:29072]","protein_coding"
"ENSG00000170161","","novel transcript","lncRNA"
"ENSG00000170175","CHRNB1","cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]","protein_coding"
"ENSG00000170185","USP38","ubiquitin specific peptidase 38 [Source:HGNC Symbol;Acc:HGNC:20067]","protein_coding"
"ENSG00000170190","SLC16A5","solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]","protein_coding"
"ENSG00000170191","NANP","N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]","protein_coding"
"ENSG00000170214","ADRA1B","adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]","protein_coding"
"ENSG00000170222","ADPRM","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent [Source:HGNC Symbol;Acc:HGNC:30925]","protein_coding"
"ENSG00000170231","FABP6","fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]","protein_coding"
"ENSG00000170234","PWWP2A","PWWP domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29406]","protein_coding"
"ENSG00000170236","USP50","ubiquitin specific peptidase 50 [Source:HGNC Symbol;Acc:HGNC:20079]","protein_coding"
"ENSG00000170242","USP47","ubiquitin specific peptidase 47 [Source:HGNC Symbol;Acc:HGNC:20076]","protein_coding"
"ENSG00000170248","PDCD6IP","programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]","protein_coding"
"ENSG00000170260","ZNF212","zinc finger protein 212 [Source:HGNC Symbol;Acc:HGNC:13004]","protein_coding"
"ENSG00000170264","FAM161A","FAM161 centrosomal protein A [Source:HGNC Symbol;Acc:HGNC:25808]","protein_coding"
"ENSG00000170265","ZNF282","zinc finger protein 282 [Source:HGNC Symbol;Acc:HGNC:13076]","protein_coding"
"ENSG00000170266","GLB1","galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]","protein_coding"
"ENSG00000170270","GON7","GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]","protein_coding"
"ENSG00000170271","FAXDC2","fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334]","protein_coding"
"ENSG00000170275","CRTAP","cartilage associated protein [Source:HGNC Symbol;Acc:HGNC:2379]","protein_coding"
"ENSG00000170276","HSPB2","heat shock protein family B (small) member 2 [Source:HGNC Symbol;Acc:HGNC:5247]","protein_coding"
"ENSG00000170289","CNGB3","cyclic nucleotide gated channel subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:2153]","protein_coding"
"ENSG00000170291","ELP5","elongator acetyltransferase complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:30617]","protein_coding"
"ENSG00000170293","CMTM8","CKLF like MARVEL transmembrane domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19179]","protein_coding"
"ENSG00000170296","GABARAP","GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]","protein_coding"
"ENSG00000170310","STX8","syntaxin 8 [Source:HGNC Symbol;Acc:HGNC:11443]","protein_coding"
"ENSG00000170312","CDK1","cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]","protein_coding"
"ENSG00000170315","UBB","ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]","protein_coding"
"ENSG00000170322","NFRKB","nuclear factor related to kappaB binding protein [Source:HGNC Symbol;Acc:HGNC:7802]","protein_coding"
"ENSG00000170324","FRMPD2","FERM and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28572]","protein_coding"
"ENSG00000170325","PRDM10","PR/SET domain 10 [Source:HGNC Symbol;Acc:HGNC:13995]","protein_coding"
"ENSG00000170340","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]","protein_coding"
"ENSG00000170345","FOS","Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]","protein_coding"
"ENSG00000170348","TMED10","transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]","protein_coding"
"ENSG00000170364","SETMAR","SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]","protein_coding"
"ENSG00000170365","SMAD1","SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]","protein_coding"
"ENSG00000170370","EMX2","empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]","protein_coding"
"ENSG00000170374","SP7","Sp7 transcription factor [Source:HGNC Symbol;Acc:HGNC:17321]","protein_coding"
"ENSG00000170379","TCAF2","TRPM8 channel associated factor 2 [Source:HGNC Symbol;Acc:HGNC:26878]","protein_coding"
"ENSG00000170381","SEMA3E","semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]","protein_coding"
"ENSG00000170382","LRRN2","leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]","protein_coding"
"ENSG00000170385","SLC30A1","solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]","protein_coding"
"ENSG00000170390","DCLK2","doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]","protein_coding"
"ENSG00000170396","ZNF804A","zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711]","protein_coding"
"ENSG00000170412","GPRC5C","G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]","protein_coding"
"ENSG00000170417","TMEM182","transmembrane protein 182 [Source:HGNC Symbol;Acc:HGNC:26391]","protein_coding"
"ENSG00000170419","VSTM2A","V-set and transmembrane domain containing 2A [Source:HGNC Symbol;Acc:HGNC:28499]","protein_coding"
"ENSG00000170421","KRT8","keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]","protein_coding"
"ENSG00000170425","ADORA2B","adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]","protein_coding"
"ENSG00000170430","MGMT","O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]","protein_coding"
"ENSG00000170439","METTL7B","methyltransferase like 7B [Source:HGNC Symbol;Acc:HGNC:28276]","protein_coding"
"ENSG00000170442","KRT86","keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]","protein_coding"
"ENSG00000170445","HARS1","histidyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4816]","protein_coding"
"ENSG00000170448","NFXL1","nuclear transcription factor, X-box binding like 1 [Source:HGNC Symbol;Acc:HGNC:18726]","protein_coding"
"ENSG00000170456","DENND5B","DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]","protein_coding"
"ENSG00000170458","CD14","CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]","protein_coding"
"ENSG00000170464","DNAJC18","DnaJ heat shock protein family (Hsp40) member C18 [Source:HGNC Symbol;Acc:HGNC:28429]","protein_coding"
"ENSG00000170468","RIOX1","ribosomal oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:20968]","protein_coding"
"ENSG00000170469","SPATA24","spermatogenesis associated 24 [Source:HGNC Symbol;Acc:HGNC:27322]","protein_coding"
"ENSG00000170471","RALGAPB","Ral GTPase activating protein non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:29221]","protein_coding"
"ENSG00000170473","PYM1","PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]","protein_coding"
"ENSG00000170485","NPAS2","neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895]","protein_coding"
"ENSG00000170500","LONRF2","LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]","protein_coding"
"ENSG00000170502","NUDT9","nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]","protein_coding"
"ENSG00000170509","HSD17B13","hydroxysteroid 17-beta dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:18685]","protein_coding"
"ENSG00000170515","PA2G4","proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]","protein_coding"
"ENSG00000170522","ELOVL6","ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]","protein_coding"
"ENSG00000170523","KRT83","keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]","protein_coding"
"ENSG00000170525","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]","protein_coding"
"ENSG00000170537","TMC7","transmembrane channel like 7 [Source:HGNC Symbol;Acc:HGNC:23000]","protein_coding"
"ENSG00000170540","ARL6IP1","ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]","protein_coding"
"ENSG00000170542","SERPINB9","serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]","protein_coding"
"ENSG00000170545","SMAGP","small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]","protein_coding"
"ENSG00000170558","CDH2","cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]","protein_coding"
"ENSG00000170571","EMB","embigin [Source:HGNC Symbol;Acc:HGNC:30465]","protein_coding"
"ENSG00000170579","DLGAP1","DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905]","protein_coding"
"ENSG00000170581","STAT2","signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]","protein_coding"
"ENSG00000170584","NUDCD2","NudC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30535]","protein_coding"
"ENSG00000170604","IRF2BP1","interferon regulatory factor 2 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21728]","protein_coding"
"ENSG00000170606","HSPA4","heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]","protein_coding"
"ENSG00000170619","COMMD5","COMM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17902]","protein_coding"
"ENSG00000170624","SGCD","sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]","protein_coding"
"ENSG00000170629","DPY19L2P2","DPY19L2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:21764]","transcribed_unprocessed_pseudogene"
"ENSG00000170631","ZNF16","zinc finger protein 16 [Source:HGNC Symbol;Acc:HGNC:12947]","protein_coding"
"ENSG00000170632","ARMC10","armadillo repeat containing 10 [Source:HGNC Symbol;Acc:HGNC:21706]","protein_coding"
"ENSG00000170633","RNF34","ring finger protein 34 [Source:HGNC Symbol;Acc:HGNC:17297]","protein_coding"
"ENSG00000170634","ACYP2","acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]","protein_coding"
"ENSG00000170638","TRABD","TraB domain containing [Source:HGNC Symbol;Acc:HGNC:28805]","protein_coding"
"ENSG00000170653","ATF7","activating transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:792]","protein_coding"
"ENSG00000170667","RASA4B","RAS p21 protein activator 4B [Source:HGNC Symbol;Acc:HGNC:35202]","protein_coding"
"ENSG00000170677","SOCS6","suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]","protein_coding"
"ENSG00000170681","CAVIN4","caveolae associated protein 4 [Source:HGNC Symbol;Acc:HGNC:33742]","protein_coding"
"ENSG00000170684","ZNF296","zinc finger protein 296 [Source:HGNC Symbol;Acc:HGNC:15981]","protein_coding"
"ENSG00000170703","TTLL6","tubulin tyrosine ligase like 6 [Source:HGNC Symbol;Acc:HGNC:26664]","protein_coding"
"ENSG00000170734","POLH","DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]","protein_coding"
"ENSG00000170743","SYT9","synaptotagmin 9 [Source:HGNC Symbol;Acc:HGNC:19265]","protein_coding"
"ENSG00000170745","KCNS3","potassium voltage-gated channel modifier subfamily S member 3 [Source:HGNC Symbol;Acc:HGNC:6302]","protein_coding"
"ENSG00000170759","KIF5B","kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]","protein_coding"
"ENSG00000170775","GPR37","G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]","protein_coding"
"ENSG00000170776","AKAP13","A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]","protein_coding"
"ENSG00000170779","CDCA4","cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625]","protein_coding"
"ENSG00000170786","SDR16C5","short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]","protein_coding"
"ENSG00000170790","OR10A2","olfactory receptor family 10 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8161]","protein_coding"
"ENSG00000170791","CHCHD7","coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]","protein_coding"
"ENSG00000170801","HTRA3","HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:HGNC:30406]","protein_coding"
"ENSG00000170802","FOXN2","forkhead box N2 [Source:HGNC Symbol;Acc:HGNC:5281]","protein_coding"
"ENSG00000170820","FSHR","follicle stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:3969]","protein_coding"
"ENSG00000170832","USP32","ubiquitin specific peptidase 32 [Source:HGNC Symbol;Acc:HGNC:19143]","protein_coding"
"ENSG00000170835","CEL","carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]","protein_coding"
"ENSG00000170836","PPM1D","protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]","protein_coding"
"ENSG00000170837","GPR27","G protein-coupled receptor 27 [Source:HGNC Symbol;Acc:HGNC:4482]","protein_coding"
